row_index,p10,p50,p90,prob_band,hhid
2851,0.9999819571931593,0.9999953470288707,0.9999988849843553,Likely Flourishing,23128276
2852,0.999983986289476,0.9999896280727529,0.9999933717346152,Likely Flourishing,23179635
2853,0.9999766000880425,0.999986519550776,0.9999920091347709,Likely Flourishing,23179636
2854,0.4926150371581591,0.6486158994316562,0.7736242498587339,Moderate,23064079
2855,0.9998910291380654,0.9999503012288267,0.9999777746390813,Likely Flourishing,23013001
2856,7.182948187166479e-09,2.7659999268928488e-08,1.1182078480853182e-07,At-Risk,23025723
2857,0.9999699165983814,0.9999832675567009,0.999989861645039,Likely Flourishing,23243501
2858,1.711169587502262e-05,7.351268073256057e-05,0.0002856309246433713,At-Risk,23102596
2859,0.34508221069106754,0.49707374287610717,0.66000002797182,Moderate,23166954
2860,9.991427749235516e-09,3.082619844312896e-07,6.414139142535174e-06,At-Risk,23025724
2861,0.8943675149002741,0.9478064161905166,0.9750533089938221,Likely Flourishing,23072189
2862,0.9874020641133451,0.9930580284272168,0.9961737248206375,Likely Flourishing,23358749
2863,0.2656924783696137,0.4245027636796936,0.5949917061515482,Moderate,23064081
2864,7.230684224052433e-05,0.00022528732176628393,0.000820353964700036,At-Risk,23379906
2865,0.9812426845124045,0.9914683051024056,0.9957245118960947,Likely Flourishing,23166957
2866,0.518165423715864,0.6970377182451765,0.8379200067250852,Likely Flourishing,23013003
2867,3.29768838339175e-05,7.732292454753521e-05,0.00018246571207596312,At-Risk,23217665
2868,0.9925619597334121,0.9957632115740607,0.9975853482922603,Likely Flourishing,23141108
2869,1.533866165877474e-08,6.778234561521514e-08,2.638545057418711e-07,At-Risk,23243508
2870,0.9999187606846812,0.9999492837873748,0.9999692084806334,Likely Flourishing,23089844
2871,0.4612385690930649,0.6225686927477758,0.7691152447796162,Moderate,23204991
2872,0.08682146236718243,0.14570774943441034,0.22831384189851572,At-Risk,23268768
2873,0.0003081624759404258,0.0006569572694690702,0.00142334314598034,At-Risk,23294705
2874,0.6083239431577399,0.7077725863905491,0.7893031314955039,Likely Flourishing,23166964
2875,0.9999786043264948,0.9999873429075194,0.9999925171472352,Likely Flourishing,23281985
2876,3.319818197530874e-05,0.00016118674299075655,0.0006999113626931287,At-Risk,23025736
2877,0.9999321882432015,0.9999641782837521,0.9999811050971024,Likely Flourishing,23051395
2878,0.4397533308809471,0.7229451917016898,0.901118888788461,Likely Flourishing,23256367
2879,0.8715833543781664,0.918561147121069,0.9499225667837308,Likely Flourishing,23141114
2880,0.9995047385114331,0.9997993895670731,0.9999145578633978,Likely Flourishing,23243513
2881,0.6991538825981283,0.8150942920063704,0.8952569637641467,Likely Flourishing,23358761
2882,1.1612331794362208e-05,4.643676186240563e-05,0.0002110447404061666,At-Risk,23072193
2883,0.5961200859147262,0.7398947664782201,0.8414839234840232,Likely Flourishing,23281989
2884,0.6512968942116065,0.758424046333907,0.841628083634447,Likely Flourishing,23102613
2885,0.010445373729685938,0.022557480711027283,0.044600753580769925,At-Risk,23217673
2886,0.00012194119376820972,0.00026444587541500923,0.000540512711902378,At-Risk,23320472
2887,0.9968938081946399,0.9979866785230748,0.9986954942092106,Likely Flourishing,23179657
2888,0.9989002581506276,0.9996570789871989,0.9998832935900293,Likely Flourishing,23089851
2889,0.9685548744341396,0.9797697607510512,0.9886150287710773,Likely Flourishing,23320475
2890,0.004273884009311797,0.010257030354075217,0.024400538611901154,At-Risk,23358770
2891,0.9997066810229318,0.9997963398734149,0.9998528043855869,Likely Flourishing,23190994
2892,0.9773888226292701,0.9892543629937303,0.9945241249178733,Likely Flourishing,23217679
2893,0.7790806622681236,0.8721892675683354,0.9299573928870886,Likely Flourishing,23075693
2894,0.0003738687746162191,0.00076647010638079,0.0016021957209519152,At-Risk,23166974
2895,0.9867141302780904,0.9927141788651659,0.9958366182755123,Likely Flourishing,23179663
2896,0.999958860636433,0.9999774188960004,0.9999880137263023,Likely Flourishing,23371707
2897,0.6346238151155745,0.7418153698886707,0.8288103448790113,Likely Flourishing,23333164
2898,0.9999390058689308,0.9999833092710997,0.9999952223158691,Likely Flourishing,23371708
2899,3.4814321811642956e-05,8.732207362060807e-05,0.00022717391015882716,At-Risk,23110767
2900,0.9592311553001701,0.9831877427027544,0.9927990442574068,Likely Flourishing,23225909
2901,0.9919478265233977,0.9950628865049269,0.9969830963466303,Likely Flourishing,23102628
2902,0.0018275954471366678,0.0037441987979910055,0.007229102030392297,At-Risk,23358782
2903,0.9999529515823182,0.9999700754307601,0.9999812742120546,Likely Flourishing,23282001
2904,0.5450695635099805,0.6941768094334547,0.8180060119305791,Likely Flourishing,23358784
2905,3.872358304077392e-06,1.0667212748194188e-05,3.3062867689205774e-05,At-Risk,23256387
2906,0.0019317535773880515,0.003354003037109591,0.006116221307166801,At-Risk,23205014
2907,0.995855626804229,0.9979727672075445,0.9990030635958557,Likely Flourishing,23089862
2908,0.00018070293092345836,0.000707878135371025,0.0021941835945880803,At-Risk,23205015
2909,0.00012591406491486355,0.00027418697931665776,0.0006309730836093718,At-Risk,23051419
2910,0.6552210463241819,0.7686466959890716,0.8548439302679063,Likely Flourishing,23089867
2911,0.008919735908064774,0.016269197634942317,0.028640045591040143,At-Risk,23358788
2912,0.9999998545315403,0.9999999448892832,0.9999999790740698,Likely Flourishing,23013035
2913,0.9999743366908439,0.9999848373228611,0.999991015189777,Likely Flourishing,23243535
2914,0.0008534957677142711,0.0022041459905629253,0.005792927248749183,At-Risk,23025753
2915,0.00012337627984269664,0.0002493831593127376,0.0005165208942889882,At-Risk,23051422
2916,0.9991019373449916,0.9994751105038253,0.9996922626245233,Likely Flourishing,23358789
2917,9.37026171004011e-10,2.9336570087497286e-09,9.181901294456087e-09,At-Risk,23320492
2918,0.0012260469966206991,0.0020611424435081926,0.0033388850063854497,At-Risk,23205017
2919,0.9548573929359127,0.9959247927806716,0.9996402712335167,Likely Flourishing,23256392
2920,0.00012689942788654955,0.0004969958756677776,0.0019949993077243134,At-Risk,23333176
2921,0.9838767264066147,0.9916880031739244,0.99583733432741,Likely Flourishing,23051426
2922,0.0011084187839562282,0.0019867450933189184,0.0035563533126091733,At-Risk,23217696
2923,3.9576454271811664e-05,0.00011568681167045522,0.0003326471883106252,At-Risk,23141135
2924,0.9909812498947076,0.9950806964868197,0.9973869549630777,Likely Flourishing,23256397
2925,0.9999733358578148,0.9999846734387792,0.9999910991091578,Likely Flourishing,23141136
2926,5.232317086698512e-06,3.219938022757861e-05,0.00015283191956374435,At-Risk,23128327
2927,0.9999677930814727,0.9999818375511074,0.9999899850265118,Likely Flourishing,23166993
2928,0.5414297421261229,0.6538578388246217,0.7511617496312145,Likely Flourishing,23064111
2929,0.99996817579066,0.9999813235780326,0.9999891434126383,Likely Flourishing,23282013
2930,0.9994528625930863,0.9996980223597955,0.9998347082356692,Likely Flourishing,23166997
2931,0.011132462052154417,0.06760160665081456,0.27015644242154185,At-Risk,23320503
2932,0.738133047393981,0.8316480048193395,0.8977598994993595,Likely Flourishing,23383225
2933,0.999969736622854,0.999982755477363,0.9999903768971825,Likely Flourishing,23064114
2934,0.9909595517554058,0.9953247961357228,0.997474575956941,Likely Flourishing,23110772
2935,3.207763951724381e-05,0.00010728304741837246,0.0003554373239437966,At-Risk,23333179
2936,0.9998621686646953,0.9999240439290864,0.9999582635275903,Likely Flourishing,23358798
2937,0.007402783279465473,0.016977967838238607,0.04149768340125608,At-Risk,23379921
2938,0.9221104385674906,0.9827629732892986,0.9957053147495387,Likely Flourishing,23072208
2939,0.9284900186954375,0.9625743322666346,0.9802681260604345,Likely Flourishing,23282022
2940,0.9593684389032452,0.9727788142562961,0.9809611119068868,Likely Flourishing,23294741
2941,0.9998957730171286,0.9999499470321422,0.9999753014835676,Likely Flourishing,23344708
2942,0.8987413237397186,0.9525078733352997,0.9793353010220179,Likely Flourishing,23013054
2943,0.9494766981861574,0.9727424030886254,0.9852701994870284,Likely Flourishing,23306296
2944,0.0003619254898599878,0.0010477785531936236,0.003194518449466882,At-Risk,23187595
2945,0.9999394408699993,0.9999776504259149,0.9999917144485161,Likely Flourishing,23089887
2946,0.9999969246192767,0.999999190567966,0.9999998038300888,Likely Flourishing,23205028
2947,0.35164584403414983,0.501915087023792,0.650697506107649,Moderate,23025766
2948,0.9343994469170703,0.9747466538275011,0.9899384858263953,Likely Flourishing,23320514
2949,7.660630103094838e-05,0.0001211303753180211,0.00019504850678751342,At-Risk,23167008
2950,0.9390856791146165,0.9655693133846379,0.9817386189155922,Likely Flourishing,23033884
2951,0.9999408273391709,0.9999686511616841,0.9999826199167114,Likely Flourishing,23051442
2952,0.9380058694191015,0.9615782378540704,0.9769474266795274,Likely Flourishing,23141145
2953,0.008056573038232276,0.021800285964092753,0.05735683931370243,At-Risk,23358807
2954,0.0017262991645046058,0.003248327158643983,0.0060169198873648595,At-Risk,23217710
2955,0.0007187202642278182,0.0024468810145267805,0.008996565245891158,At-Risk,23013057
2956,6.389117104218091e-10,5.288260215498972e-09,3.620255632422339e-08,At-Risk,23128343
2957,0.002845005696389607,0.004868599138512484,0.00778077741977932,At-Risk,23013058
2958,0.9472383204568205,0.9730838816681839,0.9861948405370218,Likely Flourishing,23256415
2959,0.0009803841105156675,0.0018070131548203962,0.0035546939203581394,At-Risk,23051446
2960,0.9059186311851201,0.9412805910464275,0.9630176919422013,Likely Flourishing,23358816
2961,0.999705761836075,0.9998244564756223,0.9998901523058406,Likely Flourishing,23282031
2962,1.0439523168826019e-08,1.460673644848217e-07,1.6337198633276636e-06,At-Risk,23110777
2963,0.8935009408902826,0.9597147334290881,0.9838534448938027,Likely Flourishing,23128349
2964,0.7912718127519219,0.8879928920959659,0.9465308551062903,Likely Flourishing,23205037
2965,0.004023574948745702,0.00882374158253444,0.01936060903995957,At-Risk,23217717
2966,0.0558789458373411,0.08531170103755686,0.1313488094626414,At-Risk,23225929
2967,0.9998201139197687,0.9999438529212393,0.9999824478691399,Likely Flourishing,23128353
2968,4.364558308467188e-08,3.287260977322305e-07,1.664003498784661e-06,At-Risk,23089902
2969,0.9913066865346102,0.9945771816309326,0.9966682648461754,Likely Flourishing,23064128
2970,0.9388828881111589,0.9621197364834602,0.9788655857044097,Likely Flourishing,23256421
2971,3.457561955143294e-09,8.219844633211969e-09,2.0418956454712702e-08,At-Risk,23205042
2972,0.9999998615620609,0.9999999501900098,0.999999981682552,Likely Flourishing,23025774
2973,0.9983705039353359,0.9997136578435804,0.9999419521631099,Likely Flourishing,23102658
2974,0.9123271908515401,0.9569873336343233,0.9805312674814272,Likely Flourishing,23256422
2975,0.9953538242344154,0.9999184674751165,0.9999983162529754,Likely Flourishing,23128357
2976,0.31285590248732537,0.4308865525885142,0.5486649393358016,Moderate,23358824
2977,0.4374084476636532,0.5718033719017661,0.6936122522260195,Moderate,23033889
2978,0.9502276024589873,0.9727896517657486,0.985175334290859,Likely Flourishing,23089904
2979,0.3234892878644092,0.4627698583696378,0.5887952329589217,Moderate,23141155
2980,0.006686093383645605,0.013724428926767899,0.027586919190136408,At-Risk,23282041
2981,0.9962451169140517,0.9981352596435465,0.9990508022173101,Likely Flourishing,23358826
2982,0.9495829429377287,0.9627922885994142,0.9725669056913253,Likely Flourishing,23205047
2983,0.9999184274564212,0.9999570986201496,0.9999764722763859,Likely Flourishing,23341360
2984,0.03552726434034017,0.05675639098109306,0.09039263561052857,At-Risk,23110780
2985,0.9999767930091944,0.9999906367652077,0.9999956946858779,Likely Flourishing,23167022
2986,0.9999370177996466,0.9999684756028884,0.9999845934806979,Likely Flourishing,23205048
2987,0.8777609156086372,0.9235793744939327,0.9518330167393344,Likely Flourishing,23089908
2988,0.999934690346208,0.999959224864132,0.9999753696665411,Likely Flourishing,23110781
2989,8.511913723764603e-08,1.8872820648661887e-07,4.2170162487321784e-07,At-Risk,23302912
2990,5.689082076093452e-07,2.2660238156914572e-06,8.709689387986186e-06,At-Risk,23205049
2991,0.5550886754273894,0.6561565430137875,0.7481315496275349,Likely Flourishing,23051458
2992,0.9651855113481499,0.9796713942622536,0.9879995019095926,Likely Flourishing,23167024
2993,0.9953393592590138,0.9988655424660652,0.9997146258135254,Likely Flourishing,23089909
2994,0.881293882487791,0.9469195537050052,0.9783623627252882,Likely Flourishing,23225934
2995,1.1382252307836034e-07,3.213267348287388e-07,9.950272026603776e-07,At-Risk,23229406
2996,0.5339212593996844,0.6556779054904747,0.768072027863264,Likely Flourishing,23025780
2997,0.9636682755003865,0.9788809491786681,0.9876975932262432,Likely Flourishing,23371747
2998,0.9996120139528373,0.9997563358013855,0.9998394608922888,Likely Flourishing,23320532
2999,0.9999501130288789,0.9999757986982118,0.9999885747601147,Likely Flourishing,23294765
3000,0.006273980387959457,0.011582205828523307,0.021878998832328495,At-Risk,23128369
3001,0.9998302109869223,0.9999487038275788,0.9999853040596192,Likely Flourishing,23051466
3002,0.004803502976534939,0.008814498884382984,0.01582219614188088,At-Risk,23025784
3003,3.241764310124465e-07,1.1535648648283646e-06,4.080748697401648e-06,At-Risk,23217728
3004,0.6752417151995396,0.8805569003759537,0.9621331469955892,Likely Flourishing,23167032
3005,5.205021683291715e-09,6.879071327756975e-08,8.261683380704209e-07,At-Risk,23102669
3006,0.9999923773248991,0.9999979718663209,0.9999995263418359,Likely Flourishing,23320542
3007,0.054634624981905425,0.11106352937669649,0.23533830440738876,At-Risk,23256438
3008,8.094028149729228e-09,2.4239057025950354e-08,6.827258298462081e-08,At-Risk,23076602
3009,1.0439897452412179e-06,4.473281058978415e-06,1.5761064780732682e-05,At-Risk,23294775
3010,0.9985289050261293,0.9992898829313912,0.999632493695698,Likely Flourishing,23115052
3011,0.9796373830977934,0.9860288364193763,0.9901798823115264,Likely Flourishing,23128379
3012,0.9871155886293278,0.9936721950244178,0.997027296099154,Likely Flourishing,23333219
3013,0.9915745035158122,0.998655828592341,0.9997985066259533,Likely Flourishing,23282057
3014,0.8765890797478569,0.9651670983695393,0.9920535682287646,Likely Flourishing,23064148
3015,0.9995557180758795,0.9997534887393035,0.9998642934068704,Likely Flourishing,23025790
3016,0.9999374493906255,0.999971720520024,0.9999876597342088,Likely Flourishing,23243580
3017,0.13631571407334855,0.29778632023744167,0.49904459740491214,At-Risk,23013093
3018,0.999933662471706,0.9999651654056094,0.9999809605865473,Likely Flourishing,23243586
3019,0.06165811632161223,0.12196791787952238,0.22136283190943049,At-Risk,23013097
3020,0.8216129050210461,0.9203297914320879,0.9634917263498233,Likely Flourishing,23128388
3021,0.9999614558314829,0.9999949147689065,0.9999994018466642,Likely Flourishing,23013098
3022,0.2781082696620173,0.44145182932753546,0.6180003297137932,Moderate,23114138
3023,0.9370042104452678,0.9671836449277633,0.9825874767240669,Likely Flourishing,23191007
3024,0.9997383976124617,0.9998920670290568,0.9999550978877524,Likely Flourishing,23179709
3025,0.902628648137067,0.9508719567708834,0.9745650811233499,Likely Flourishing,23243590
3026,0.0009520024793223734,0.0023313031261761492,0.006434513093949138,At-Risk,23128390
3027,0.9999136541380969,0.9999647928651736,0.9999840882124311,Likely Flourishing,23282067
3028,0.5450035631164056,0.729332534251308,0.8452162154713458,Likely Flourishing,23282068
3029,0.07085506423114415,0.12214799399746391,0.19922103712902262,At-Risk,23225939
3030,0.9992980451672386,0.9995694362213698,0.9997388142834787,Likely Flourishing,23358857
3031,0.0002596110784377824,0.0005758361856259993,0.001157388384902066,At-Risk,23013102
3032,0.9998419890983807,0.9999567645299303,0.9999869427250603,Likely Flourishing,23179713
3033,0.01941194854883612,0.055569765140502374,0.14451023900912102,At-Risk,23205071
3034,0.005231697889084044,0.00907788842838301,0.01607407109743139,At-Risk,23149161
3035,2.1334348214936667e-06,5.476033895251624e-06,1.4998592111739413e-05,At-Risk,23371762
3036,0.9999830311652407,0.9999922479140997,0.9999964291973549,Likely Flourishing,23243596
3037,0.679540982632299,0.7979050728332802,0.8768448564437589,Likely Flourishing,23333230
3038,4.803102560410988e-08,4.094340051887897e-07,4.1697096208834975e-06,At-Risk,23187623
3039,0.9999570852391504,0.9999724924145605,0.9999821057869545,Likely Flourishing,23128401
3040,0.0014704225975463816,0.0029905853881690104,0.005677990390335641,At-Risk,23025798
3041,3.5060726651971953e-07,9.612351025816997e-07,2.603947498628686e-06,At-Risk,23217747
3042,0.9578065226222428,0.9737762544402782,0.9838579054565325,Likely Flourishing,23371768
3043,0.014736075825345366,0.039658281952794756,0.09453115856092191,At-Risk,23294790
3044,0.001098160097709077,0.0021011189159040496,0.004284024474048694,At-Risk,23089951
3045,0.9700697255177944,0.9892681434327131,0.9959514790339906,Likely Flourishing,23110789
3046,0.1407936758357242,0.2099366964842761,0.3094109634448513,At-Risk,23051494
3047,0.30459459530203387,0.4711005948857008,0.6598378128485785,Moderate,23110790
3048,0.9999687504170989,0.9999929683313016,0.9999985299960477,Likely Flourishing,23205086
3049,0.5132552372544837,0.6422571230665453,0.7574694788822796,Moderate,23237220
